,Model,Target,Test_Year,Train_Years,Train_Rows,Test_Rows,Train_Time_Seconds,Accuracy,Balanced_Acc,F1,Baseline_Acc,Skill
0,ridge,Gold-T+7,2015,2011–2014,989,249,7.3764,0.5020080321285141,0.48966697380544955,0.48948412698412697,0.570281124497992,-0.1588785046728971
1,ridge,Gold-T+7,2016,2012–2015,987,247,2.8249,0.5182186234817814,0.5393276977942147,0.4976328428105078,0.5425101214574899,-0.05309734513274338
2,ridge,Gold-T+7,2017,2013–2016,990,246,3.0664,0.5934959349593496,0.5858156028368795,0.5855795148247979,0.573170731707317,0.04761904761904774
3,ridge,Gold-T+7,2018,2014–2017,988,247,2.8687,0.4251012145748988,0.41022861647615294,0.3436751497005988,0.5222672064777328,-0.20338983050847464
4,ridge,Gold-T+7,2019,2015–2018,989,248,3.0217,0.6048387096774194,0.5464600259438793,0.5351897184822522,0.6088709677419355,-0.010309278350515455
5,ridge,Gold-T+7,2020,2016–2019,988,251,2.818,0.4860557768924303,0.5069306930693069,0.4860231439592362,0.5976095617529881,-0.27722772277227725
6,ridge,Gold-T+7,2021,2017–2020,992,251,2.8371,0.5059760956175299,0.5010564733000384,0.501026035654739,0.545816733067729,-0.08771929824561395
7,ridge,Gold-T+7,2022,2018–2021,997,250,2.8814,0.528,0.5256656426011265,0.4826739618406285,0.504,0.04838709677419359
8,ridge,Gold-T+7,2023,2019–2022,1000,247,2.8041,0.5748987854251012,0.5938735177865613,0.5500910746812386,0.5344129554655871,0.08695652173913031
9,ridge,Gold-T+7,2024,2020–2023,999,249,2.7981,0.3855421686746988,0.5134928362776464,0.30663390663390666,0.6345381526104418,-0.6813186813186813
10,ridge,Gold-T+7,2025,2021–2024,997,177,2.8262,0.6440677966101694,0.5958646616541353,0.5780771122630444,0.751412429378531,-0.43181818181818177
11,et,Gold-T+7,2015,2011–2014,989,249,2.9467,0.5180722891566265,0.4968408582335132,0.4933532284319045,0.570281124497992,-0.1214953271028037
12,et,Gold-T+7,2016,2012–2015,987,247,3.0179,0.44534412955465585,0.47355038964469687,0.39383788625167937,0.5425101214574899,-0.21238938053097353
13,et,Gold-T+7,2017,2013–2016,990,246,2.744,0.4959349593495935,0.5542046605876393,0.43959435626102294,0.573170731707317,-0.18095238095238086
14,et,Gold-T+7,2018,2014–2017,988,247,3.1806,0.5708502024291497,0.5638549467875443,0.5561169130611692,0.5222672064777328,0.1016949152542371
15,et,Gold-T+7,2019,2015–2018,989,248,2.7312,0.3911290322580645,0.5,0.2811594202898551,0.6088709677419355,-0.5567010309278352
16,et,Gold-T+7,2020,2016–2019,988,251,3.1649,0.4940239043824701,0.5249174917491749,0.49244486903908924,0.5976095617529881,-0.2574257425742575
17,et,Gold-T+7,2021,2017–2020,992,251,2.9147,0.4541832669322709,0.5,0.31232876712328766,0.545816733067729,-0.20175438596491221
18,et,Gold-T+7,2022,2018–2021,997,250,2.7671,0.496,0.5,0.3315508021390374,0.504,-0.01612903225806453
19,et,Gold-T+7,2023,2019–2022,1000,247,2.8049,0.5344129554655871,0.5,0.3482849604221636,0.5344129554655871,0.0
20,et,Gold-T+7,2024,2020–2023,999,249,2.7343,0.6345381526104418,0.5,0.3882063882063882,0.6345381526104418,0.0
21,et,Gold-T+7,2025,2021–2024,997,177,2.9036,0.4689265536723164,0.5477614490772386,0.46134421134421133,0.751412429378531,-1.136363636363636
22,rf,Gold-T+7,2015,2011–2014,989,249,11.2265,0.5100401606425703,0.4967092273265763,0.49638594164456235,0.570281124497992,-0.1401869158878504
23,rf,Gold-T+7,2016,2012–2015,987,247,7.2332,0.5425101214574899,0.5,0.35170603674540685,0.5425101214574899,0.0
24,rf,Gold-T+7,2017,2013–2016,990,246,7.0916,0.4268292682926829,0.5,0.29914529914529914,0.573170731707317,-0.34285714285714275
25,rf,Gold-T+7,2018,2014–2017,988,247,12.0057,0.562753036437247,0.5647746682433321,0.5625737898465171,0.5222672064777328,0.08474576271186428
26,rf,Gold-T+7,2019,2015–2018,989,248,6.8789,0.3911290322580645,0.5,0.2811594202898551,0.6088709677419355,-0.5567010309278352
27,rf,Gold-T+7,2020,2016–2019,988,251,7.1435,0.5976095617529881,0.5,0.3740648379052369,0.5976095617529881,0.0
28,rf,Gold-T+7,2021,2017–2020,992,251,7.2678,0.4541832669322709,0.5,0.31232876712328766,0.545816733067729,-0.20175438596491221
29,rf,Gold-T+7,2022,2018–2021,997,250,7.7827,0.56,0.5575396825396826,0.5125496313102667,0.504,0.11290322580645172
30,rf,Gold-T+7,2023,2019–2022,1000,247,7.0548,0.5344129554655871,0.5,0.3482849604221636,0.5344129554655871,0.0
31,rf,Gold-T+7,2024,2020–2023,999,249,7.0144,0.6345381526104418,0.5,0.3882063882063882,0.6345381526104418,0.0
32,rf,Gold-T+7,2025,2021–2024,997,177,12.582,0.5819209039548022,0.5316985645933014,0.5167502951593861,0.751412429378531,-0.6818181818181817
33,catboost,Gold-T+7,2015,2011–2014,989,249,51.2495,0.5903614457831325,0.6028366460444912,0.5903548387096774,0.570281124497992,0.04672897196261688
34,catboost,Gold-T+7,2016,2012–2015,987,247,52.6673,0.4089068825910931,0.4399683000924581,0.3376799882456656,0.5425101214574899,-0.2920353982300886
35,catboost,Gold-T+7,2017,2013–2016,990,246,51.7969,0.45528455284552843,0.5223910840932118,0.3621517027863777,0.573170731707317,-0.2761904761904761
36,catboost,Gold-T+7,2018,2014–2017,988,247,50.4045,0.582995951417004,0.5801800026277756,0.579661296984717,0.5222672064777328,0.12711864406779644
37,catboost,Gold-T+7,2019,2015–2018,989,248,53.5985,0.5403225806451613,0.5211306069502287,0.5208460443359773,0.6088709677419355,-0.175257731958763
38,catboost,Gold-T+7,2020,2016–2019,988,251,53.1004,0.549800796812749,0.5101320132013202,0.5043599825251202,0.5976095617529881,-0.11881188118811899
39,catboost,Gold-T+7,2021,2017–2020,992,251,52.6299,0.5657370517928287,0.5432833909591497,0.5243980877879183,0.545816733067729,0.043859649122807216
40,catboost,Gold-T+7,2022,2018–2021,997,250,55.3434,0.528,0.5253456221198156,0.4679316066661857,0.504,0.04838709677419359
41,catboost,Gold-T+7,2023,2019–2022,1000,247,59.2017,0.5425101214574899,0.527733860342556,0.5117466981544652,0.5344129554655871,0.017391304347826014
42,catboost,Gold-T+7,2024,2020–2023,999,249,73.1069,0.4779116465863454,0.5256989845597441,0.4772286821705426,0.6345381526104418,-0.4285714285714286
43,catboost,Gold-T+7,2025,2021–2024,997,177,58.1965,0.6497175141242938,0.5616028708133971,0.5569282945736435,0.751412429378531,-0.40909090909090884
44,xgboost,Gold-T+7,2015,2011–2014,989,249,10.0172,0.4979919678714859,0.4746281426879031,0.46919180722069687,0.570281124497992,-0.16822429906542058
45,xgboost,Gold-T+7,2016,2012–2015,987,247,9.2924,0.4939271255060729,0.5169396380927223,0.4665042420472414,0.5425101214574899,-0.10619469026548677
46,xgboost,Gold-T+7,2017,2013–2016,990,246,9.0591,0.4268292682926829,0.4987841945288754,0.3049872763339812,0.573170731707317,-0.34285714285714275
47,xgboost,Gold-T+7,2018,2014–2017,988,247,11.3778,0.47368421052631576,0.4834778609906714,0.45212257712257714,0.5222672064777328,-0.10169491525423745
48,xgboost,Gold-T+7,2019,2015–2018,989,248,13.7974,0.3911290322580645,0.5,0.2811594202898551,0.6088709677419355,-0.5567010309278352
49,xgboost,Gold-T+7,2020,2016–2019,988,251,6.7963,0.4820717131474104,0.5116831683168317,0.48067863509039976,0.5976095617529881,-0.28712871287128716
50,xgboost,Gold-T+7,2021,2017–2020,992,251,8.7092,0.5537848605577689,0.5595786912536816,0.5537211074422148,0.545816733067729,0.01754385964912279
51,xgboost,Gold-T+7,2022,2018–2021,997,250,7.1118,0.528,0.5291858678955452,0.5180053591268544,0.504,0.04838709677419359
52,xgboost,Gold-T+7,2023,2019–2022,1000,247,9.1626,0.46963562753036436,0.4701910408432147,0.4693224870024437,0.5344129554655871,-0.13913043478260884
53,xgboost,Gold-T+7,2024,2020–2023,999,249,6.7993,0.3815261044176707,0.5126582278481012,0.29552469135802467,0.6345381526104418,-0.6923076923076923
54,xgboost,Gold-T+7,2025,2021–2024,997,177,8.7537,0.5649717514124294,0.5660457963089542,0.5272468694717125,0.751412429378531,-0.7499999999999997
55,mlp,Gold-T+7,2015,2011–2014,989,249,5.1937,0.4457831325301205,0.5140845070422535,0.3313745330012453,0.570281124497992,-0.2897196261682243
56,mlp,Gold-T+7,2016,2012–2015,987,247,7.9664,0.5425101214574899,0.5,0.35170603674540685,0.5425101214574899,0.0
57,mlp,Gold-T+7,2017,2013–2016,990,246,6.3686,0.45528455284552843,0.5236068895643364,0.3574269005847953,0.573170731707317,-0.2761904761904761
58,mlp,Gold-T+7,2018,2014–2017,988,247,5.4971,0.4777327935222672,0.5,0.3232876712328767,0.5222672064777328,-0.09322033898305092
59,mlp,Gold-T+7,2019,2015–2018,989,248,6.6079,0.592741935483871,0.573393869051683,0.5732515546469035,0.6088709677419355,-0.04123711340206182
60,mlp,Gold-T+7,2020,2016–2019,988,251,5.1568,0.4063745019920319,0.5033333333333333,0.29437180430557913,0.5976095617529881,-0.4752475247524753
61,mlp,Gold-T+7,2021,2017–2020,992,251,6.0025,0.545816733067729,0.5,0.35309278350515466,0.545816733067729,0.0
62,mlp,Gold-T+7,2022,2018–2021,997,250,5.6413,0.508,0.5040962621607783,0.35086867492769835,0.504,0.008064516129032265
63,mlp,Gold-T+7,2023,2019–2022,1000,247,6.0337,0.5425101214574899,0.5131752305665349,0.4186782746339533,0.5344129554655871,0.017391304347826014
64,mlp,Gold-T+7,2024,2020–2023,999,249,5.5541,0.6345381526104418,0.5,0.3882063882063882,0.6345381526104418,0.0
65,mlp,Gold-T+7,2025,2021–2024,997,177,8.9153,0.751412429378531,0.5,0.4290322580645161,0.751412429378531,0.0
66,ridge,Gold-T+14,2015,2011–2014,989,249,3.0194,0.5421686746987951,0.521832358674464,0.5016502808988764,0.5421686746987951,0.0
67,ridge,Gold-T+14,2016,2012–2015,987,247,2.8222,0.5384615384615384,0.5696051057040288,0.5195536445536446,0.5587044534412956,-0.04587155963302771
68,ridge,Gold-T+14,2017,2013–2016,990,246,2.8995,0.573170731707317,0.5825,0.5700374531835206,0.6097560975609756,-0.09375000000000008
69,ridge,Gold-T+14,2018,2014–2017,988,247,2.7039,0.46153846153846156,0.5178308577545832,0.39843249281254,0.5708502024291497,-0.25471698113207525
70,ridge,Gold-T+14,2019,2015–2018,989,248,2.8144,0.6290322580645161,0.5607974329214174,0.5422150882825041,0.6088709677419355,0.051546391752577275
71,ridge,Gold-T+14,2020,2016–2019,988,251,2.8678,0.5258964143426295,0.5342105263157895,0.5215218261914297,0.6215139442231076,-0.2526315789473685
72,ridge,Gold-T+14,2021,2017–2020,992,251,2.9179,0.46613545816733065,0.5064768500705399,0.38936092955700796,0.549800796812749,-0.1858407079646017
73,ridge,Gold-T+14,2022,2018–2021,997,250,2.7915,0.6,0.6048908520581269,0.5615881032547699,0.508,0.18699186991869912
74,ridge,Gold-T+14,2023,2019–2022,1000,247,2.879,0.5465587044534413,0.5425573770491803,0.488839615668884,0.5060728744939271,0.0819672131147542
75,ridge,Gold-T+14,2024,2020–2023,999,249,2.8722,0.3092369477911647,0.5,0.2361963190184049,0.6907630522088354,-1.233766233766234
76,ridge,Gold-T+14,2025,2021–2024,997,177,2.8176,0.6836158192090396,0.6982664233576642,0.6377192982456141,0.7740112994350282,-0.3999999999999997
77,et,Gold-T+14,2015,2011–2014,989,249,3.3127,0.5903614457831325,0.5758284600389864,0.5693502441671188,0.5421686746987951,0.10526315789473693
78,et,Gold-T+14,2016,2012–2015,987,247,2.9755,0.44129554655870445,0.5,0.3061797752808989,0.5587044534412956,-0.26605504587155976
79,et,Gold-T+14,2017,2013–2016,990,246,3.4416,0.4105691056910569,0.5166666666666667,0.31712453335885904,0.6097560975609756,-0.5104166666666666
80,et,Gold-T+14,2018,2014–2017,988,247,3.4262,0.562753036437247,0.5830657031981801,0.5611345090813371,0.5708502024291497,-0.018867924528301803
81,et,Gold-T+14,2019,2015–2018,989,248,3.0264,0.5201612903225806,0.5672492660613095,0.5159983599835998,0.6088709677419355,-0.2268041237113403
82,et,Gold-T+14,2020,2016–2019,988,251,3.1051,0.4900398406374502,0.5362348178137653,0.4882120555626354,0.6215139442231076,-0.34736842105263155
83,et,Gold-T+14,2021,2017–2020,992,251,2.6317,0.450199203187251,0.5,0.31043956043956045,0.549800796812749,-0.22123893805309724
84,et,Gold-T+14,2022,2018–2021,997,250,3.0744,0.492,0.5,0.3297587131367292,0.508,-0.032520325203252064
85,et,Gold-T+14,2023,2019–2022,1000,247,3.256,0.4939271255060729,0.5,0.33062330623306235,0.5060728744939271,-0.024590163934426236
86,et,Gold-T+14,2024,2020–2023,999,249,3.1366,0.6907630522088354,0.5,0.4085510688836104,0.6907630522088354,0.0
87,et,Gold-T+14,2025,2021–2024,997,177,2.9981,0.7740112994350282,0.5,0.43630573248407645,0.7740112994350282,0.0
88,rf,Gold-T+14,2015,2011–2014,989,249,6.4295,0.4578313253012048,0.5,0.3140495867768595,0.5421686746987951,-0.18421052631578944
89,rf,Gold-T+14,2016,2012–2015,987,247,7.0999,0.44129554655870445,0.5,0.3061797752808989,0.5587044534412956,-0.26605504587155976
90,rf,Gold-T+14,2017,2013–2016,990,246,7.1503,0.6097560975609756,0.5,0.3787878787878788,0.6097560975609756,0.0
91,rf,Gold-T+14,2018,2014–2017,988,247,7.2708,0.6072874493927125,0.619731031714171,0.6072874493927125,0.5708502024291497,0.0849056603773585
92,rf,Gold-T+14,2019,2015–2018,989,248,7.267,0.3911290322580645,0.5,0.2811594202898551,0.6088709677419355,-0.5567010309278352
93,rf,Gold-T+14,2020,2016–2019,988,251,6.9671,0.601593625498008,0.5539473684210526,0.5526803535785572,0.6215139442231076,-0.052631578947368376
94,rf,Gold-T+14,2021,2017–2020,992,251,6.6811,0.549800796812749,0.5,0.35475578406169667,0.549800796812749,0.0
95,rf,Gold-T+14,2022,2018–2021,997,250,7.4717,0.492,0.5,0.3297587131367292,0.508,-0.032520325203252064
96,rf,Gold-T+14,2023,2019–2022,1000,247,6.7849,0.4939271255060729,0.5,0.33062330623306235,0.5060728744939271,-0.024590163934426236
97,rf,Gold-T+14,2024,2020–2023,999,249,6.9923,0.6907630522088354,0.5,0.4085510688836104,0.6907630522088354,0.0
98,rf,Gold-T+14,2025,2021–2024,997,177,12.4497,0.6101694915254238,0.5623175182481752,0.53789398009762,0.7740112994350282,-0.7249999999999996
99,catboost,Gold-T+14,2015,2011–2014,989,249,53.2984,0.5742971887550201,0.5712475633528264,0.5712475633528264,0.5421686746987951,0.07017543859649136
100,catboost,Gold-T+14,2016,2012–2015,987,247,54.2178,0.46963562753036436,0.5089748703629837,0.4261417043539949,0.5587044534412956,-0.20183486238532128
101,catboost,Gold-T+14,2017,2013–2016,990,246,56.2239,0.4105691056910569,0.5166666666666667,0.31712453335885904,0.6097560975609756,-0.5104166666666666
102,catboost,Gold-T+14,2018,2014–2017,988,247,66.9075,0.5020242914979757,0.4959186404389134,0.4955417185554172,0.5708502024291497,-0.16037735849056597
103,catboost,Gold-T+14,2019,2015–2018,989,248,54.1644,0.5362903225806451,0.5639038710998839,0.5362827829536772,0.6088709677419355,-0.18556701030927847
104,catboost,Gold-T+14,2020,2016–2019,988,251,52.2161,0.601593625498008,0.5271929824561403,0.508998435054773,0.6215139442231076,-0.052631578947368376
105,catboost,Gold-T+14,2021,2017–2020,992,251,54.5226,0.6772908366533864,0.689688341669873,0.6762837353713875,0.549800796812749,0.28318584070796454
106,catboost,Gold-T+14,2022,2018–2021,997,250,56.6018,0.42,0.42439664554125855,0.3751185120063436,0.508,-0.17886178861788624
107,catboost,Gold-T+14,2023,2019–2022,1000,247,57.1606,0.4979757085020243,0.5034098360655738,0.3765673343103729,0.5060728744939271,-0.016393442622950862
108,catboost,Gold-T+14,2024,2020–2023,999,249,55.8185,0.5060240963855421,0.5420190274841438,0.49969779636375516,0.6907630522088354,-0.5974025974025977
109,catboost,Gold-T+14,2025,2021–2024,997,177,59.3157,0.4519774011299435,0.4866788321167883,0.4283288382778943,0.7740112994350282,-1.4249999999999998
110,xgboost,Gold-T+14,2015,2011–2014,989,249,6.5095,0.5140562248995983,0.478167641325536,0.379359357297353,0.5421686746987951,-0.061403508771929856
111,xgboost,Gold-T+14,2016,2012–2015,987,247,8.5,0.5101214574898786,0.547134689535966,0.4771800927140733,0.5587044534412956,-0.1100917431192661
112,xgboost,Gold-T+14,2017,2013–2016,990,246,7.7706,0.4268292682926829,0.53,0.34489206187319393,0.6097560975609756,-0.46875
113,xgboost,Gold-T+14,2018,2014–2017,988,247,6.7626,0.5546558704453441,0.5349926401712832,0.5331615120274914,0.5708502024291497,-0.037735849056603606
114,xgboost,Gold-T+14,2019,2015–2018,989,248,6.7099,0.532258064516129,0.5605926128217382,0.5322276422764227,0.6088709677419355,-0.19587628865979392
115,xgboost,Gold-T+14,2020,2016–2019,988,251,6.1242,0.4103585657370518,0.4577260458839406,0.4062020460358056,0.6215139442231076,-0.5578947368421052
116,xgboost,Gold-T+14,2021,2017–2020,992,251,11.9837,0.450199203187251,0.5,0.31043956043956045,0.549800796812749,-0.22123893805309724
117,xgboost,Gold-T+14,2022,2018–2021,997,250,8.4449,0.576,0.5780679854042634,0.5698051948051948,0.508,0.13821138211382103
118,xgboost,Gold-T+14,2023,2019–2022,1000,247,6.4588,0.5546558704453441,0.5492786885245902,0.44195695037791655,0.5060728744939271,0.09836065573770494
119,xgboost,Gold-T+14,2024,2020–2023,999,249,6.8553,0.3172690763052209,0.5058139534883721,0.24914857386121753,0.6907630522088354,-1.207792207792208
120,xgboost,Gold-T+14,2025,2021–2024,997,177,7.3581,0.5988700564971752,0.5638686131386861,0.5340896452007563,0.7740112994350282,-0.7749999999999997
121,mlp,Gold-T+14,2015,2011–2014,989,249,5.5908,0.4497991967871486,0.49122807017543857,0.31024930747922436,0.5421686746987951,-0.20175438596491224
122,mlp,Gold-T+14,2016,2012–2015,987,247,6.7981,0.44129554655870445,0.5,0.3061797752808989,0.5587044534412956,-0.26605504587155976
123,mlp,Gold-T+14,2017,2013–2016,990,246,9.2267,0.3902439024390244,0.5,0.2807017543859649,0.6097560975609756,-0.5624999999999999
124,mlp,Gold-T+14,2018,2014–2017,988,247,6.3816,0.4251012145748988,0.49528301886792453,0.29829545454545453,0.5708502024291497,-0.3396226415094338
125,mlp,Gold-T+14,2019,2015–2018,989,248,11.7859,0.4717741935483871,0.48880316788420836,0.47135302253681555,0.6088709677419355,-0.35051546391752575
126,mlp,Gold-T+14,2020,2016–2019,988,251,5.8668,0.4701195219123506,0.532557354925776,0.4613646998079933,0.6215139442231076,-0.39999999999999997
127,mlp,Gold-T+14,2021,2017–2020,992,251,5.1623,0.47410358565737054,0.5177311786584584,0.38177339901477836,0.549800796812749,-0.16814159292035383
128,mlp,Gold-T+14,2022,2018–2021,997,250,5.2305,0.508,0.5,0.33687002652519893,0.508,0.0
129,mlp,Gold-T+14,2023,2019–2022,1000,247,6.5713,0.5060728744939271,0.5,0.33602150537634407,0.5060728744939271,0.0
130,mlp,Gold-T+14,2024,2020–2023,999,249,6.1057,0.5381526104417671,0.5186499546964664,0.5076259091768833,0.6907630522088354,-0.4935064935064936
